gene frequency 
ENSG00000173064.9 2
ENSG00000172936.11 2
ENSG00000172795.14 2
ENSG00000172534.12 2
ENSG00000172466.14 2
ENSG00000172361.5 2
ENSG00000172269.15 2
ENSG00000172262.10 2
ENSG00000172197.10 2
ENSG00000172183.13 2
ENSG00000172171.9 2
ENSG00000172071.10 2
ENSG00000171792.9 2
ENSG00000171649.10 2
ENSG00000171566.10 2
ENSG00000171497.4 2
ENSG00000171467.14 2
ENSG00000171456.15 2
ENSG00000171448.8 2
ENSG00000171444.16 2
ENSG00000171443.6 2
ENSG00000171408.12 2
ENSG00000170871.10 2
ENSG00000170852.9 2
ENSG00000170647.3 2
ENSG00000170633.15 2
ENSG00000170629.13 2
ENSG00000170445.11 2
ENSG00000170325.13 2
ENSG00000170322.13 2
ENSG00000170270.4 2
ENSG00000169964.5 2
ENSG00000169925.15 2
ENSG00000169762.15 2
ENSG00000169679.13 2
ENSG00000169609.12 2
ENSG00000169607.11 2
ENSG00000169570.8 2
ENSG00000169499.13 2
ENSG00000169398.18 2
ENSG00000169359.12 2
ENSG00000169062.13 2
ENSG00000168958.18 2
ENSG00000168944.14 2
ENSG00000168818.8 2
ENSG00000168806.7 2
ENSG00000168778.10 2
ENSG00000168769.11 2
ENSG00000168763.14 2
ENSG00000168661.13 2
ENSG00000168502.16 2
ENSG00000168438.13 2
ENSG00000168434.11 2
ENSG00000168411.12 2
ENSG00000168256.16 2
ENSG00000168234.11 2
ENSG00000168228.13 2
ENSG00000168214.19 2
ENSG00000168000.13 2
ENSG00000167985.5 2
ENSG00000167920.7 2
ENSG00000167578.15 2
ENSG00000167566.15 2
ENSG00000167555.12 2
ENSG00000167487.10 2
ENSG00000167447.11 2
ENSG00000167378.7 2
ENSG00000167333.11 2
ENSG00000167280.15 2
ENSG00000167264.16 2
ENSG00000167258.12 2
ENSG00000167110.15 2
ENSG00000166965.11 2
ENSG00000166946.12 2
ENSG00000166938.11 2
ENSG00000166912.15 2
ENSG00000166900.13 2
ENSG00000166783.18 2
ENSG00000166557.11 2
ENSG00000166529.13 2
ENSG00000166503.7 2
ENSG00000166477.11 2
ENSG00000166454.8 2
ENSG00000166402.7 2
ENSG00000166398.11 2
ENSG00000166233.11 2
ENSG00000166188.2 2
ENSG00000166135.12 2
ENSG00000166037.9 2
ENSG00000166024.12 2
ENSG00000165914.13 2
ENSG00000165891.14 2
ENSG00000165861.12 2
ENSG00000165832.5 2
ENSG00000165819.10 2
ENSG00000165804.14 2
ENSG00000165752.15 2
ENSG00000165699.12 2
ENSG00000165698.14 2
ENSG00000165695.8 2
ENSG00000165632.7 2
ENSG00000165525.16 2
ENSG00000165512.4 2
ENSG00000165494.9 2
ENSG00000165490.11 2
ENSG00000165322.16 2
ENSG00000165312.6 2
ENSG00000165275.8 2
ENSG00000165269.11 2
ENSG00000165240.16 2
ENSG00000165060.10 2
ENSG00000164975.14 2
ENSG00000164916.10 2
ENSG00000164902.12 2
ENSG00000164855.14 2
ENSG00000164758.6 2
ENSG00000164741.13 2
ENSG00000164684.12 2
ENSG00000164597.12 2
ENSG00000164574.14 2
ENSG00000164543.5 2
ENSG00000164494.10 2
ENSG00000164463.11 2
ENSG00000164306.9 2
ENSG00000164296.6 2
ENSG00000164244.19 2
ENSG00000164221.11 2
ENSG00000164190.15 2
ENSG00000164169.11 2
ENSG00000164118.11 2
ENSG00000164117.11 2
ENSG00000164088.16 2
ENSG00000164073.8 2
ENSG00000164038.13 2
ENSG00000164011.16 2
ENSG00000164008.12 2
ENSG00000164002.10 2
ENSG00000163939.17 2
ENSG00000163848.17 2
ENSG00000163785.11 2
ENSG00000163755.7 2
ENSG00000163535.16 2
ENSG00000163521.14 2
ENSG00000163510.12 2
ENSG00000163507.12 2
ENSG00000163444.10 2
ENSG00000163349.20 2
ENSG00000163320.9 2
ENSG00000163312.9 2
ENSG00000163281.10 2
ENSG00000163069.11 2
ENSG00000163026.10 2
ENSG00000162946.19 2
ENSG00000162852.12 2
ENSG00000162714.11 2
ENSG00000162711.15 2
ENSG00000162623.14 2
ENSG00000162604.11 2
ENSG00000162437.13 2
ENSG00000162408.10 2
ENSG00000162378.11 2
ENSG00000162104.8 2
ENSG00000161847.12 2
ENSG00000161791.12 2
ENSG00000161692.16 2
ENSG00000161544.8 2
ENSG00000161542.15 2
ENSG00000161277.10 2
ENSG00000160799.10 2
ENSG00000160551.8 2
ENSG00000160439.14 2
ENSG00000160352.14 2
ENSG00000160345.11 2
ENSG00000160326.12 2
ENSG00000160310.15 2
ENSG00000160305.16 2
ENSG00000160293.15 2
ENSG00000160199.13 2
ENSG00000160190.12 2
ENSG00000160058.17 2
ENSG00000160055.18 2
ENSG00000160049.10 2
ENSG00000160007.16 2
ENSG00000159640.13 2
ENSG00000159459.10 2
ENSG00000159216.17 2
ENSG00000158985.12 2
ENSG00000158483.14 2
ENSG00000158301.17 2
ENSG00000158286.11 2
ENSG00000158158.10 2
ENSG00000157985.16 2
ENSG00000157837.14 2
ENSG00000157800.16 2
ENSG00000157764.11 2
ENSG00000157741.13 2
ENSG00000157693.13 2
ENSG00000157510.12 2
ENSG00000157500.9 2
ENSG00000157350.11 2
ENSG00000157212.17 2
ENSG00000157106.15 2
ENSG00000157045.7 2
ENSG00000156970.11 2
ENSG00000156931.14 2
ENSG00000156650.11 2
ENSG00000156603.13 2
ENSG00000156381.7 2
ENSG00000156172.5 2
ENSG00000156136.8 2
ENSG00000156030.11 2
ENSG00000156011.15 2
ENSG00000155962.11 2
ENSG00000155903.10 2
ENSG00000155868.7 2
ENSG00000155850.7 2
ENSG00000155827.10 2
ENSG00000155755.17 2
ENSG00000155636.13 2
ENSG00000155561.13 2
ENSG00000155545.18 2
ENSG00000155508.12 2
ENSG00000155158.19 2
ENSG00000155111.13 2
ENSG00000154889.15 2
ENSG00000154864.10 2
ENSG00000154310.15 2
ENSG00000154114.11 2
ENSG00000154065.15 2
ENSG00000153936.15 2
ENSG00000153922.9 2
ENSG00000153832.10 2
ENSG00000153767.8 2
ENSG00000153310.17 2
ENSG00000153234.12 2
ENSG00000153208.15 2
ENSG00000153147.5 2
ENSG00000153094.20 2
ENSG00000153015.14 2
ENSG00000152782.15 2
ENSG00000152700.12 2
ENSG00000152684.10 2
ENSG00000152683.13 2
ENSG00000152642.9 2
ENSG00000152520.12 2
ENSG00000152455.14 2
ENSG00000152409.8 2
ENSG00000152223.11 2
ENSG00000152219.4 2
ENSG00000152193.7 2
ENSG00000152076.17 2
ENSG00000152061.20 2
ENSG00000151849.13 2
ENSG00000151806.12 2
ENSG00000151623.13 2
ENSG00000151611.12 2
ENSG00000151576.9 2
