gene frequency
ENSG00000257365.6 2
ENSG00000257303.1 2
ENSG00000257218.4 2
ENSG00000256940.1 2
ENSG00000256164.1 2
ENSG00000256148.1 2
ENSG00000256060.2 2
ENSG00000255455.2 2
ENSG00000255145.2 2
ENSG00000254685.5 2
ENSG00000254531.1 2
ENSG00000253683.1 2
ENSG00000251994.1 2
ENSG00000251669.4 2
ENSG00000251562.6 2
ENSG00000250799.8 2
ENSG00000250479.7 2
ENSG00000250327.1 2
ENSG00000250318.1 2
ENSG00000250317.7 2
ENSG00000250222.1 2
ENSG00000250182.3 2
ENSG00000249673.5 2
ENSG00000249637.1 2
ENSG00000249572.1 2
ENSG00000248508.5 2
ENSG00000248092.6 2
ENSG00000248008.2 2
ENSG00000247774.5 2
ENSG00000247596.7 2
ENSG00000247400.3 2
ENSG00000247134.5 2
ENSG00000246089.3 2
ENSG00000245958.5 2
ENSG00000245571.5 2
ENSG00000245556.2 2
ENSG00000245060.5 2
ENSG00000244754.7 2
ENSG00000244687.10 2
ENSG00000244187.6 2
ENSG00000243749.1 2
ENSG00000243646.7 2
ENSG00000243449.5 2
ENSG00000243422.1 2
ENSG00000243335.7 2
ENSG00000243156.6 2
ENSG00000242616.3 2
ENSG00000242498.6 2
ENSG00000242419.4 2
ENSG00000242372.5 2
ENSG00000242265.4 2
ENSG00000242114.4 2
ENSG00000241990.4 2
ENSG00000241973.9 2
ENSG00000241878.8 2
ENSG00000241852.8 2
ENSG00000241837.5 2
ENSG00000241468.6 2
ENSG00000241343.8 2
ENSG00000240972.1 2
ENSG00000240694.7 2
ENSG00000240184.5 2
ENSG00000239713.6 2
ENSG00000239697.9 2
ENSG00000239306.4 2
ENSG00000237765.5 2
ENSG00000237181.1 2
ENSG00000237172.3 2
ENSG00000236859.5 2
ENSG00000236753.4 2
ENSG00000236552.2 2
ENSG00000236540.6 2
ENSG00000236287.6 2
ENSG00000236155.5 2
ENSG00000235597.1 2
ENSG00000235453.6 2
ENSG00000235106.7 2
ENSG00000235098.7 2
ENSG00000235084.3 2
ENSG00000234975.6 2
ENSG00000234745.8 2
ENSG00000234608.6 2
ENSG00000234518.2 2
ENSG00000234456.6 2
ENSG00000234444.8 2
ENSG00000234284.5 2
ENSG00000233929.1 2
ENSG00000233527.7 2
ENSG00000233325.3 2
ENSG00000233276.3 2
ENSG00000232956.7 2
ENSG00000232838.3 2
ENSG00000232629.7 2
ENSG00000232559.3 2
ENSG00000232112.3 2
ENSG00000231770.4 2
ENSG00000231721.5 2
ENSG00000230982.1 2
ENSG00000230424.1 2
ENSG00000230409.3 2
ENSG00000229391.6 2
ENSG00000228716.5 2
ENSG00000228474.4 2
ENSG00000228439.4 2
ENSG00000228288.5 2
ENSG00000227992.1 2
ENSG00000227671.4 2
ENSG00000226976.3 2
ENSG00000226752.6 2
ENSG00000226608.3 2
ENSG00000226580.1 2
ENSG00000226479.3 2
ENSG00000226210.3 2
ENSG00000226137.5 2
ENSG00000225791.5 2
ENSG00000224616.1 2
ENSG00000224078.11 2
ENSG00000223797.4 2
ENSG00000221988.11 2
ENSG00000221184.1 2
ENSG00000220749.4 2
ENSG00000219481.9 2
ENSG00000217555.11 2
ENSG00000217128.10 2
ENSG00000215908.6 2
ENSG00000215717.5 2
ENSG00000215271.7 2
ENSG00000215067.8 2
ENSG00000214753.2 2
ENSG00000214530.6 2
ENSG00000214413.6 2
ENSG00000214367.6 2
ENSG00000214274.8 2
ENSG00000214113.9 2
ENSG00000214110.3 2
ENSG00000214106.6 2
ENSG00000214022.10 2
ENSG00000213995.10 2
ENSG00000213930.10 2
ENSG00000213846.4 2
ENSG00000213762.9 2
ENSG00000213626.10 2
ENSG00000213625.7 2
ENSG00000213593.8 2
ENSG00000213516.8 2
ENSG00000213465.6 2
ENSG00000213463.4 2
ENSG00000213390.9 2
ENSG00000213246.5 2
ENSG00000213222.3 2
ENSG00000211890.3 2
ENSG00000211673.2 2
ENSG00000211553.1 2
ENSG00000211455.6 2
ENSG00000208772.1 2
ENSG00000207697.1 2
ENSG00000207561.1 2
ENSG00000206418.3 2
ENSG00000206053.11 2
ENSG00000205981.5 2
ENSG00000205808.5 2
ENSG00000205791.3 2
ENSG00000205730.6 2
ENSG00000205542.9 2
ENSG00000205269.5 2
ENSG00000205208.4 2
ENSG00000205155.6 2
ENSG00000205138.3 2
ENSG00000205133.10 2
ENSG00000205078.5 2
ENSG00000204922.4 2
ENSG00000204843.11 2
ENSG00000204789.4 2
ENSG00000204673.9 2
ENSG00000204569.8 2
ENSG00000204564.10 2
ENSG00000204482.9 2
ENSG00000204472.11 2
ENSG00000204388.6 2
ENSG00000204381.10 2
ENSG00000204338.7 2
ENSG00000204257.13 2
ENSG00000204219.8 2
ENSG00000204217.11 2
ENSG00000204128.5 2
ENSG00000204120.13 2
ENSG00000203880.10 2
ENSG00000203865.8 2
ENSG00000203797.8 2
ENSG00000203760.7 2
ENSG00000199477.1 2
ENSG00000198939.6 2
ENSG00000198937.8 2
ENSG00000198931.9 2
ENSG00000198919.11 2
ENSG00000198894.6 2
ENSG00000198890.7 2
ENSG00000198876.11 2
ENSG00000198874.11 2
ENSG00000198853.10 2
ENSG00000198837.8 2
ENSG00000198836.7 2
ENSG00000198833.6 2
ENSG00000198832.9 2
ENSG00000198830.9 2
ENSG00000198826.9 2
ENSG00000198815.7 2
ENSG00000198814.11 2
ENSG00000198805.10 2
ENSG00000198793.11 2
ENSG00000198746.11 2
ENSG00000198743.5 2
ENSG00000198740.7 2
ENSG00000198736.10 2
ENSG00000198730.6 2
ENSG00000198722.11 2
ENSG00000198718.11 2
ENSG00000198689.8 2
ENSG00000198680.4 2
ENSG00000198677.9 2
ENSG00000198668.9 2
ENSG00000198646.12 2
ENSG00000198642.6 2
ENSG00000198604.9 2
ENSG00000198554.10 2
ENSG00000198521.10 2
ENSG00000198408.12 2
ENSG00000198301.10 2
ENSG00000198286.8 2
ENSG00000198265.10 2
ENSG00000198258.9 2
ENSG00000198223.13 2
ENSG00000198189.9 2
ENSG00000198185.10 2
ENSG00000198075.8 2
ENSG00000198040.9 2
ENSG00000198001.12 2
ENSG00000198000.10 2
ENSG00000197943.8 2
ENSG00000197782.13 2
ENSG00000197780.8 2
ENSG00000197724.9 2
ENSG00000197712.10 2
ENSG00000197702.10 2
ENSG00000197694.12 2
ENSG00000197568.12 2
ENSG00000197548.11 2
ENSG00000197442.9 2
ENSG00000197345.11 2
ENSG00000197329.10 2
ENSG00000197323.9 2
ENSG00000197321.13 2
ENSG00000197217.11 2
ENSG00000197183.11 2
ENSG00000197180.2 2
ENSG00000197142.9 2
ENSG00000197121.13 2
ENSG00000197093.9 2
ENSG00000197063.9 2
ENSG00000197045.11 2
ENSG00000197037.9 2
ENSG00000197024.7 2
ENSG00000196976.6 2
ENSG00000196943.11 2
ENSG00000196924.13 2
ENSG00000196922.9 2
ENSG00000196843.14 2
ENSG00000196810.4 2
ENSG00000196793.12 2
ENSG00000196715.5 2
ENSG00000196712.15 2
ENSG00000196693.13 2
ENSG00000196670.12 2
ENSG00000196663.14 2
ENSG00000196655.8 2
ENSG00000196652.10 2
ENSG00000196636.7 2
ENSG00000196628.12 2
ENSG00000196584.2 2
ENSG00000196581.9 2
ENSG00000196547.13 2
ENSG00000196526.9 2
ENSG00000196504.14 2
ENSG00000196476.10 2
ENSG00000196405.11 2
ENSG00000196372.11 2
ENSG00000196312.10 2
ENSG00000196236.11 2
