ENSG00000247774.5	
ENSG00000110925.5	CSRNP2
ENSG00000118508.4	RAB32
ENSG00000187955.10	COL14A1
ENSG00000087086.12	FTL
ENSG00000204257.13	HLA-DMA
ENSG00000266469.1	
ENSG00000163359.14	COL6A3
ENSG00000133393.11	FOPNL
ENSG00000278376.1	
ENSG00000128607.12	KLHDC10
ENSG00000143324.12	XPR1
ENSG00000141040.13	ZNF287
ENSG00000137714.2	FDX1
ENSG00000253982.1	
ENSG00000149091.14	DGKZ
ENSG00000179085.7	DPM3
ENSG00000181472.4	ZBTB2
ENSG00000125871.12	MGME1
ENSG00000119707.12	RBM25
ENSG00000225649.4	
ENSG00000133119.11	RFC3
ENSG00000171456.15	ASXL1
ENSG00000173681.15	BCLAF3
ENSG00000205423.10	CNEP1R1
ENSG00000240370.5	
ENSG00000103152.10	MPG
ENSG00000064651.12	SLC12A2
ENSG00000188735.11	TMEM120B
ENSG00000233276.3	GPX1
ENSG00000168916.14	ZNF608
ENSG00000054116.10	TRAPPC3
ENSG00000176903.4	PNMA1
ENSG00000137267.5	TUBB2A
ENSG00000171634.15	BPTF
ENSG00000272523.1	
ENSG00000175445.13	LPL
ENSG00000179409.9	GEMIN4
ENSG00000223960.5	
ENSG00000122952.15	ZWINT
ENSG00000217128.10	FNIP1
ENSG00000171443.6	ZNF524
ENSG00000169397.3	RNASE3
ENSG00000260032.1	
ENSG00000131408.12	NR1H2
ENSG00000148335.13	NTMT1
ENSG00000101158.11	NELFCD
ENSG00000189403.13	HMGB1
ENSG00000162063.11	CCNF
ENSG00000186814.11	ZSCAN30
ENSG00000104427.10	ZC2HC1A
ENSG00000011523.12	CEP68
ENSG00000071564.13	TCF3
ENSG00000088888.16	MAVS
ENSG00000136436.13	CALCOCO2
ENSG00000204065.2	TCEAL5
ENSG00000186352.7	ANKRD37
ENSG00000072786.11	STK10
ENSG00000108349.13	CASC3
ENSG00000196793.12	ZNF239
ENSG00000120963.10	ZNF706
ENSG00000169567.10	HINT1
ENSG00000075568.15	TMEM131
ENSG00000131828.12	PDHA1
ENSG00000141456.13	PELP1
ENSG00000196584.2	XRCC2
ENSG00000102158.18	MAGT1
ENSG00000115520.7	COQ10B
ENSG00000025156.11	HSF2
ENSG00000087448.8	KLHL42
ENSG00000180011.6	ZADH2
ENSG00000155592.14	ZKSCAN2
ENSG00000048649.12	RSF1
ENSG00000182013.16	PNMA8A
ENSG00000163132.6	MSX1
ENSG00000200714.1	
ENSG00000125430.7	HS3ST3B1
ENSG00000245680.8	ZNF585B
ENSG00000171848.12	RRM2
ENSG00000100523.13	DDHD1
ENSG00000263272.1	
ENSG00000084731.12	KIF3C
ENSG00000149480.5	MTA2
ENSG00000132821.10	VSTM2L
ENSG00000135829.15	DHX9
ENSG00000130699.15	TAF4
ENSG00000258634.3	
ENSG00000181817.5	LSM10
ENSG00000197766.6	CFD
ENSG00000135823.12	STX6
ENSG00000103415.10	HMOX2
ENSG00000135372.7	NAT10
ENSG00000116096.5	SPR
ENSG00000148848.13	ADAM12
ENSG00000078674.16	PCM1
ENSG00000139675.11	HNRNPA1L2
ENSG00000136274.8	NACAD
ENSG00000134369.14	NAV1
ENSG00000164164.14	OTUD4
ENSG00000139668.8	WDFY2
ENSG00000165152.7	TMEM246
ENSG00000165475.12	CRYL1
ENSG00000196843.14	ARID5A
ENSG00000136770.9	DNAJC1
ENSG00000272686.1	
ENSG00000069399.11	BCL3
ENSG00000264538.5	
ENSG00000058804.11	NDC1
ENSG00000110696.8	C11orf58
ENSG00000132535.17	DLG4
ENSG00000171617.12	ENC1
ENSG00000120868.12	APAF1
ENSG00000128881.15	TTBK2
ENSG00000217555.11	CKLF-CMTM1
ENSG00000198729.4	PPP1R14C
ENSG00000133606.9	MKRN1
ENSG00000124571.16	XPO5
ENSG00000102034.15	ELF4
ENSG00000273373.1	
ENSG00000275494.1	
ENSG00000102606.16	ARHGEF7
ENSG00000179163.11	FUCA1
ENSG00000146918.18	NCAPG2
ENSG00000169429.9	CXCL8
