ENSG00000196072.10	BLOC1S2
ENSG00000137076.17	TLN1
ENSG00000181751.8	MACIR
ENSG00000057019.14	DCBLD2
ENSG00000174989.11	FBXW8
ENSG00000237172.3	B3GNT9
ENSG00000183665.5	TRMT12
ENSG00000155561.13	NUP205
ENSG00000072657.7	TRHDE
ENSG00000163918.9	RFC4
ENSG00000161791.12	FMNL3
ENSG00000212283.1	
ENSG00000125818.16	PSMF1
ENSG00000188641.11	DPYD
ENSG00000062370.15	ZNF112
ENSG00000258199.1	
ENSG00000204138.11	PHACTR4
ENSG00000148688.12	RPP30
ENSG00000223784.1	
ENSG00000165757.8	JCAD
ENSG00000167112.9	TRUB2
ENSG00000122574.9	WIPF3
ENSG00000205544.3	TMEM256
ENSG00000072310.15	SREBF1
ENSG00000110700.5	RPS13
ENSG00000152455.14	SUV39H2
ENSG00000151348.12	EXT2
ENSG00000119661.13	DNAL1
ENSG00000197535.13	MYO5A
ENSG00000130255.11	RPL36
ENSG00000184227.6	ACOT1
ENSG00000101868.9	POLA1
ENSG00000096433.9	ITPR3
ENSG00000067836.11	ROGDI
ENSG00000103319.10	EEF2K
ENSG00000254087.6	LYN
ENSG00000197442.9	MAP3K5
ENSG00000122741.14	DCAF10
ENSG00000197021.7	EOLA2
ENSG00000166398.11	KIAA0355
ENSG00000124201.13	ZNFX1
ENSG00000155158.19	TTC39B
ENSG00000166821.7	PEX11A
ENSG00000103540.15	CCP110
ENSG00000166441.11	RPL27A
ENSG00000165671.17	NSD1
ENSG00000124207.15	CSE1L
ENSG00000267049.1	
ENSG00000028116.15	VRK2
ENSG00000169020.8	ATP5ME
ENSG00000213762.9	ZNF134
ENSG00000183621.14	ZNF438
ENSG00000115904.11	SOS1
ENSG00000143889.14	HNRNPLL
ENSG00000136802.10	LRRC8A
ENSG00000184924.5	PTRHD1
ENSG00000185049.11	NELFA
ENSG00000135250.15	SRPK2
ENSG00000203724.9	C1orf53
ENSG00000187608.7	ISG15
ENSG00000114859.13	CLCN2
ENSG00000255455.2	
ENSG00000047315.13	POLR2B
ENSG00000115355.14	CCDC88A
ENSG00000157693.13	TMEM268
ENSG00000121067.16	SPOP
ENSG00000164068.14	RNF123
ENSG00000108506.10	INTS2
ENSG00000124160.10	NCOA5
ENSG00000272369.1	
ENSG00000170802.14	FOXN2
ENSG00000165168.7	CYBB
ENSG00000080503.18	SMARCA2
ENSG00000145907.13	G3BP1
ENSG00000122547.9	EEPD1
ENSG00000134882.14	UBAC2
ENSG00000119929.11	CUTC
ENSG00000204564.10	C6orf136
ENSG00000101384.10	JAG1
ENSG00000109756.7	RAPGEF2
ENSG00000185088.11	RPS27L
ENSG00000147649.8	MTDH
ENSG00000174951.9	FUT1
ENSG00000178896.6	EXOSC4
ENSG00000127884.4	ECHS1
ENSG00000151422.11	FER
ENSG00000164091.10	WDR82
ENSG00000197128.10	ZNF772
ENSG00000183431.10	SF3A3
ENSG00000104299.13	INTS9
ENSG00000110514.17	MADD
ENSG00000239559.2	
ENSG00000111331.11	OAS3
ENSG00000071794.14	HLTF
ENSG00000174839.11	DENND6A
ENSG00000111335.11	OAS2
ENSG00000136816.14	TOR1B
ENSG00000198830.9	HMGN2
ENSG00000160007.16	
ENSG00000107036.10	RIC1
ENSG00000165028.10	NIPSNAP3B
ENSG00000095932.6	SMIM24
ENSG00000185730.6	ZNF696
ENSG00000185813.9	PCYT2
ENSG00000122033.13	MTIF3
ENSG00000134851.11	TMEM165
ENSG00000152443.11	ZNF776
ENSG00000119673.13	ACOT2
ENSG00000140526.15	ABHD2
ENSG00000024048.9	UBR2
ENSG00000127586.15	CHTF18
ENSG00000170889.12	RPS9
ENSG00000143486.14	EIF2D
ENSG00000143476.16	DTL
ENSG00000183397.5	C19orf71
ENSG00000166333.12	ILK
ENSG00000170873.17	MTSS1
ENSG00000196839.11	ADA
ENSG00000178033.5	CALHM5
ENSG00000197043.12	ANXA6
ENSG00000131899.9	LLGL1
ENSG00000105855.8	ITGB8
ENSG00000149150.7	SLC43A1
ENSG00000183354.10	KIAA2026
ENSG00000163781.11	TOPBP1
ENSG00000135218.16	CD36
ENSG00000197102.9	DYNC1H1
ENSG00000058729.9	RIOK2
ENSG00000183508.4	TENT5C
ENSG00000145819.14	ARHGAP26
ENSG00000154640.13	BTG3
ENSG00000130723.16	PRRC2B
ENSG00000175063.15	UBE2C
ENSG00000119041.9	GTF3C3
ENSG00000147854.15	UHRF2
ENSG00000088930.7	XRN2
ENSG00000163577.6	EIF5A2
ENSG00000102890.13	ELMO3
ENSG00000085185.14	BCORL1
ENSG00000122644.11	ARL4A
ENSG00000213799.9	ZNF845
ENSG00000136982.5	DSCC1
ENSG00000081026.17	MAGI3
ENSG00000131143.7	COX4I1
ENSG00000197321.13	SVIL
ENSG00000186654.19	PRR5
ENSG00000128052.8	KDR
ENSG00000127951.5	FGL2
ENSG00000138780.13	GSTCD
ENSG00000114023.14	FAM162A
ENSG00000148153.12	INIP
ENSG00000131732.10	ZCCHC9
ENSG00000185262.8	UBALD2
ENSG00000126953.5	TIMM8A
ENSG00000161847.12	RAVER1
ENSG00000185585.18	OLFML2A
ENSG00000047621.10	C12orf4
ENSG00000117533.13	VAMP4
ENSG00000242498.6	ARPIN
ENSG00000104381.11	GDAP1
ENSG00000114541.13	FRMD4B
ENSG00000005108.14	THSD7A
ENSG00000101191.15	DIDO1
ENSG00000139531.11	SUOX
ENSG00000113580.13	NR3C1
ENSG00000050405.12	LIMA1
ENSG00000123136.13	DDX39A
ENSG00000188070.9	C11orf95
ENSG00000165156.13	ZHX1
ENSG00000237039.1	
ENSG00000109111.13	SUPT6H
ENSG00000171649.10	ZIK1
ENSG00000240694.7	PNMA2
ENSG00000173218.13	VANGL1
ENSG00000047849.20	MAP4
ENSG00000175166.15	PSMD2
ENSG00000242265.4	PEG10
ENSG00000145020.13	AMT
ENSG00000115884.9	SDC1
ENSG00000236552.2	
ENSG00000125898.11	FAM110A
ENSG00000265452.1	
ENSG00000197646.7	PDCD1LG2
ENSG00000077063.9	CTTNBP2
ENSG00000148516.20	ZEB1
ENSG00000048991.15	R3HDM1
ENSG00000105497.6	ZNF175
ENSG00000163873.8	GRIK3
ENSG00000081913.12	PHLPP1
ENSG00000065054.12	SLC9A3R2
ENSG00000136824.17	SMC2
ENSG00000119402.15	FBXW2
ENSG00000085831.14	TTC39A
ENSG00000234380.1	
ENSG00000132109.9	TRIM21
ENSG00000115317.10	HTRA2
ENSG00000197024.7	ZNF398
ENSG00000167644.10	IMUP
ENSG00000140395.7	WDR61
ENSG00000247627.2	
ENSG00000206527.8	HACD2
ENSG00000100612.12	DHRS7
ENSG00000262198.1	
ENSG00000231721.5	
ENSG00000066735.13	KIF26A
ENSG00000141570.9	CBX8
ENSG00000136930.11	PSMB7
ENSG00000147065.15	MSN
ENSG00000145494.10	NDUFS6
ENSG00000204356.10	NELFE
ENSG00000127952.15	STYXL1
ENSG00000022976.14	ZNF839
ENSG00000134001.11	EIF2S1
ENSG00000005156.10	LIG3
ENSG00000099783.10	HNRNPM
ENSG00000100348.8	TXN2
ENSG00000141002.17	TCF25
ENSG00000050628.19	PTGER3
ENSG00000071994.9	PDCD2
ENSG00000034533.10	ASTE1
ENSG00000115271.9	GCA
ENSG00000168005.7	SPINDOC
ENSG00000213626.10	LBH
ENSG00000008869.10	HEATR5B
ENSG00000108840.14	HDAC5
