ENSG00000134802.16	SLC43A3
ENSG00000057252.11	SOAT1
ENSG00000042753.10	AP2S1
ENSG00000175110.10	MRPS22
ENSG00000137343.16	ATAT1
ENSG00000196792.10	STRN3
ENSG00000107341.4	UBE2R2
ENSG00000136068.13	FLNB
ENSG00000169764.13	UGP2
ENSG00000180667.9	YOD1
ENSG00000009307.14	CSDE1
ENSG00000124508.15	BTN2A2
ENSG00000048028.10	USP28
ENSG00000083807.8	SLC27A5
ENSG00000160796.15	NBEAL2
ENSG00000139946.8	PELI2
ENSG00000168228.13	ZCCHC4
ENSG00000168214.19	RBPJ
ENSG00000186283.12	TOR3A
ENSG00000151967.17	SCHIP1
ENSG00000173581.6	CCDC106
ENSG00000175029.15	CTBP2
ENSG00000137312.13	FLOT1
ENSG00000231074.7	
ENSG00000116793.14	PHTF1
ENSG00000165102.13	HGSNAT
ENSG00000137310.10	TCF19
ENSG00000140455.15	USP3
ENSG00000105619.12	TFPT
ENSG00000146776.13	ATXN7L1
ENSG00000112110.8	
ENSG00000170852.9	KBTBD2
ENSG00000101844.16	ATG4A
ENSG00000161677.10	JOSD2
ENSG00000173334.3	TRIB1
ENSG00000165118.13	C9orf64
ENSG00000168591.14	TMUB2
ENSG00000153406.12	NMRAL1
ENSG00000118620.11	ZNF430
ENSG00000148225.14	WDR31
ENSG00000243646.7	IL10RB
ENSG00000101204.14	CHRNA4
ENSG00000135974.8	C2orf49
ENSG00000155827.10	RNF20
ENSG00000148541.11	FAM13C
ENSG00000102178.11	UBL4A
ENSG00000029639.9	TFB1M
ENSG00000128602.8	SMO
ENSG00000136273.10	HUS1
ENSG00000164169.11	PRMT9
ENSG00000228906.1	
ENSG00000106086.17	PLEKHA8
ENSG00000170542.5	SERPINB9
ENSG00000004866.17	ST7
ENSG00000197885.9	NKIRAS1
ENSG00000163170.10	BOLA3
ENSG00000258708.1	
ENSG00000138587.5	MNS1
ENSG00000187626.8	ZKSCAN4
ENSG00000135677.9	GNS
ENSG00000104341.15	LAPTM4B
ENSG00000260978.1	
ENSG00000198355.4	PIM3
ENSG00000139974.14	SLC38A6
ENSG00000165006.12	UBAP1
ENSG00000136238.16	RAC1
ENSG00000105404.9	RABAC1
ENSG00000128039.9	SRD5A3
ENSG00000065882.14	TBC1D1
ENSG00000100097.10	LGALS1
ENSG00000170270.4	GON7
ENSG00000100129.16	EIF3L
ENSG00000178381.10	ZFAND2A
ENSG00000106028.9	SSBP1
ENSG00000197694.12	SPTAN1
ENSG00000163481.6	RNF25
ENSG00000133121.19	STARD13
ENSG00000197555.8	SIPA1L1
ENSG00000090674.14	MCOLN1
ENSG00000160226.14	CFAP410
ENSG00000270681.1	
ENSG00000198743.5	SLC5A3
ENSG00000157570.10	TSPAN18
ENSG00000176894.8	PXMP2
ENSG00000104983.7	CCDC61
ENSG00000164896.18	FASTK
ENSG00000175928.5	LRRN1
ENSG00000125375.13	DMAC2L
ENSG00000168615.10	ADAM9
ENSG00000170624.12	SGCD
ENSG00000171877.18	FRMD5
ENSG00000100485.10	SOS2
ENSG00000090266.11	NDUFB2
ENSG00000272398.4	CD24
ENSG00000165506.13	DNAAF2
ENSG00000171448.8	ZBTB26
ENSG00000102763.14	VWA8
ENSG00000168938.5	PPIC
ENSG00000177125.5	ZBTB34
ENSG00000062716.9	VMP1
ENSG00000167515.9	TRAPPC2L
ENSG00000132405.17	TBC1D14
ENSG00000132376.18	INPP5K
ENSG00000114446.4	IFT57
ENSG00000171729.12	TMEM51
ENSG00000184867.12	ARMCX2
ENSG00000026950.15	BTN3A1
ENSG00000146592.15	CREB5
ENSG00000143569.17	UBAP2L
ENSG00000127903.13	ZNF835
ENSG00000160213.5	CSTB
ENSG00000183496.5	MEX3B
ENSG00000167037.17	SGSM1
ENSG00000247596.7	TWF2
ENSG00000265354.3	TIMM23
ENSG00000169410.8	PTPN9
ENSG00000130313.5	PGLS
ENSG00000146576.11	C7orf26
ENSG00000135931.16	ARMC9
ENSG00000138821.11	SLC39A8
ENSG00000055163.17	CYFIP2
ENSG00000119318.11	RAD23B
ENSG00000197959.12	DNM3
ENSG00000213923.9	CSNK1E
ENSG00000260912.1	
ENSG00000182796.11	
ENSG00000187416.10	LHFPL3
ENSG00000122783.15	CYREN
ENSG00000230733.2	
ENSG00000179152.17	TCAIM
ENSG00000136859.8	ANGPTL2
ENSG00000106609.15	TMEM248
ENSG00000100711.12	ZFYVE21
ENSG00000196247.10	ZNF107
ENSG00000158859.9	ADAMTS4
ENSG00000146826.13	MAP11
ENSG00000164692.16	COL1A2
ENSG00000139910.18	NOVA1
ENSG00000160211.14	G6PD
ENSG00000172765.15	TMCC1
ENSG00000165525.16	NEMF
ENSG00000171155.7	C1GALT1C1
ENSG00000207697.1	
ENSG00000272173.1	
ENSG00000133800.7	LYVE1
ENSG00000136280.14	CCM2
ENSG00000056586.14	RC3H2
ENSG00000256053.6	COA8
ENSG00000161981.9	SNRNP25
ENSG00000256060.2	TRAPPC2B
ENSG00000109458.7	GAB1
ENSG00000105379.8	ETFB
ENSG00000161381.12	PLXDC1
ENSG00000077147.13	TM9SF3
ENSG00000038210.12	PI4K2B
ENSG00000176533.11	GNG7
ENSG00000144843.10	ADPRH
ENSG00000157259.6	GATAD1
ENSG00000135404.10	CD63
ENSG00000023608.4	SNAPC1
ENSG00000163191.5	S100A11
ENSG00000182890.4	GLUD2
ENSG00000020426.9	MNAT1
ENSG00000168016.12	TRANK1
ENSG00000106244.11	PDAP1
ENSG00000138767.11	CNOT6L
ENSG00000164106.6	SCRG1
ENSG00000172354.8	GNB2
ENSG00000006625.16	GGCT
ENSG00000074842.6	MYDGF
ENSG00000013016.13	EHD3
ENSG00000196937.9	FAM3C
ENSG00000065308.4	TRAM2
ENSG00000148120.13	AOPEP
ENSG00000133131.13	MORC4
ENSG00000138303.16	ASCC1
ENSG00000113597.16	TRAPPC13
ENSG00000171903.15	CYP4F11
ENSG00000115041.11	KCNIP3
ENSG00000048342.14	CC2D2A
ENSG00000167548.13	KMT2D
ENSG00000108518.7	PFN1
ENSG00000214765.7	
ENSG00000023572.7	GLRX2
ENSG00000180340.6	FZD2
ENSG00000013364.17	MVP
ENSG00000141380.12	SS18
ENSG00000131981.14	LGALS3
ENSG00000167863.10	ATP5PD
ENSG00000167930.14	FAM234A
ENSG00000105220.13	GPI
ENSG00000204604.8	ZNF468
ENSG00000104964.13	TLE5
ENSG00000186907.6	RTN4RL2
ENSG00000137752.21	CASP1
ENSG00000164221.11	CCDC112
ENSG00000178202.11	POGLUT3
ENSG00000168769.11	TET2
ENSG00000060656.18	PTPRU
ENSG00000168090.8	COPS6
ENSG00000173898.10	SPTBN2
ENSG00000205356.8	TECPR1
ENSG00000142684.7	ZNF593
ENSG00000215845.9	TSTD1
ENSG00000116863.10	ADPRHL2
ENSG00000171988.16	JMJD1C
ENSG00000084754.9	HADHA
ENSG00000188677.13	PARVB
ENSG00000261786.1	
ENSG00000115828.14	QPCT
ENSG00000135314.11	KHDC1
ENSG00000100938.16	GMPR2
ENSG00000130244.11	FAM98C
ENSG00000231770.4	
ENSG00000110844.12	PRPF40B
ENSG00000133858.14	ZFC3H1
ENSG00000198816.5	ZNF358
ENSG00000114019.13	AMOTL2
ENSG00000242588.5	
ENSG00000174953.12	DHX36
ENSG00000119782.12	FKBP1B
ENSG00000116990.10	MYCL
ENSG00000244687.10	UBE2V1
ENSG00000120709.9	FAM53C
ENSG00000167680.14	SEMA6B
ENSG00000126775.8	ATG14
ENSG00000214106.6	
ENSG00000180901.9	KCTD2
ENSG00000198015.11	MRPL42
ENSG00000055950.15	MRPL43
ENSG00000035687.9	ADSS2
ENSG00000144730.15	IL17RD
ENSG00000145284.10	SCD5
ENSG00000032444.14	PNPLA6
ENSG00000111581.8	NUP107
ENSG00000049860.12	HEXB
ENSG00000176058.10	TPRN
ENSG00000272886.4	DCP1A
ENSG00000186448.13	ZNF197
ENSG00000242419.4	PCDHGC4
ENSG00000130830.13	MPP1
ENSG00000182150.14	ERCC6L2
ENSG00000149798.4	CDC42EP2
ENSG00000134574.10	DDB2
ENSG00000091490.9	SEL1L3
ENSG00000186446.10	ZNF501
ENSG00000068831.17	RASGRP2
ENSG00000122674.10	CCZ1B
ENSG00000179403.11	VWA1
ENSG00000138629.14	UBL7
ENSG00000035403.15	VCL
ENSG00000119950.19	MXI1
ENSG00000269696.1	
ENSG00000048140.16	TSPAN17
ENSG00000063245.13	EPN1
ENSG00000142634.11	EFHD2
ENSG00000114626.16	ABTB1
ENSG00000144647.5	POMGNT2
ENSG00000145495.13	MARCHF6
ENSG00000119699.6	TGFB3
ENSG00000002330.12	BAD
ENSG00000184990.11	SIVA1
ENSG00000138029.12	HADHB
ENSG00000170191.4	NANP
ENSG00000134453.14	RBM17
ENSG00000213222.3	
ENSG00000110057.6	UNC93B1
ENSG00000033011.10	ALG1
ENSG00000071655.16	MBD3
ENSG00000179364.12	PACS2
ENSG00000149294.15	NCAM1
ENSG00000083290.18	ULK2
ENSG00000128346.9	C22orf23
ENSG00000136810.11	TXN
ENSG00000167397.13	VKORC1
ENSG00000087076.7	HSD17B14
ENSG00000157350.11	ST3GAL2
ENSG00000185361.7	TNFAIP8L1
ENSG00000123358.18	NR4A1
ENSG00000123411.13	IKZF4
ENSG00000178802.16	MPI
ENSG00000107581.11	EIF3A
ENSG00000006756.14	ARSD
ENSG00000100105.16	PATZ1
ENSG00000100151.14	PICK1
ENSG00000073910.18	FRY
ENSG00000104419.13	NDRG1
ENSG00000132466.16	ANKRD17
ENSG00000143870.11	PDIA6
ENSG00000145416.12	MARCHF1
ENSG00000003249.12	DBNDD1
ENSG00000128016.5	ZFP36
ENSG00000100154.13	TTC28
ENSG00000277443.1	MARCKS
ENSG00000101945.15	SUV39H1
ENSG00000133706.16	LARS1
ENSG00000053501.11	USE1
ENSG00000165443.10	PHYHIPL
ENSG00000173744.16	AGFG1
ENSG00000117713.16	ARID1A
ENSG00000127481.13	UBR4
ENSG00000234444.8	ZNF736
ENSG00000122642.9	FKBP9
ENSG00000168101.13	NUDT16L1
ENSG00000123146.18	ADGRE5
ENSG00000160075.11	SSU72
ENSG00000083750.11	RRAGB
ENSG00000134376.13	CRB1
ENSG00000161179.12	YDJC
ENSG00000172175.11	MALT1
ENSG00000160352.14	ZNF714
ENSG00000279140.1	
ENSG00000128626.10	MRPS12
ENSG00000105472.11	CLEC11A
ENSG00000127328.20	RAB3IP
ENSG00000170558.7	CDH2
ENSG00000139146.12	SINHCAF
ENSG00000176401.5	EID2B
